Month,industry,highest_laid_off
2020-03,Travel,1603
2020-04,Retail,4241
2020-05,Transportation,10340
2020-06,Finance,2582
2020-07,Travel,4675
2020-08,Sales,1056
2020-09,Media,270
2020-10,Marketing,250
2020-11,Healthcare,172
2020-12,Travel,600
2021-01,Food,2057
2021-02,Retail,288
2021-03,Media,47
2021-04,Infrastructure,160
2021-06,Construction,2434
2021-07,HR,80
2021-08,Consumer,1800
2021-09,Other,120
2021-10,Product,22
2021-11,"Real Estate",2000
2021-12,"Real Estate",900
2022-01,Finance,330
2022-02,Fitness,2800
2022-03,"Real Estate",3115
2022-04,Education,1150
2022-05,Transportation,4550
2022-06,Crypto,3085
2022-07,Food,3833
2022-08,Retail,2336
2022-09,Other,850
2022-10,Healthcare,5584
2022-11,Consumer,15570
2022-12,Finance,1367
2023-01,Other,14619
2023-02,Other,12893
2023-03,Other,1000
